team_id,name,email,phone,phone_id,street,city,state,zip,dollar,pick
1,Lilly Bishop,roc@zo.ky,(582) 763-1361,685138,Levvim View,Ewajouw,UT,79467,$9434.41,GREEN
2,Madge Lucas,im@oha.ni,(282) 937-7543,940676,Coji Key,Nomapbor,LA,13985,$6177.71,BLUE
3,Aiden Potter,leec@titolnuv.cd,(531) 849-3015,368569,Tazed Point,Kokgater,NC,18589,$3233.54,GREEN
4,Eva Spencer,joospu@lokkasjiz.bg,(414) 889-3236,131248,Weha Trail,Feffifi,WI,94100,$1188.99,RED
5,Herbert Bridges,mitful@kesa.pe,(316) 423-4683,686465,Heig Turnpike,Mobtukboj,ME,30505,$3728.65,GREEN
6,Bess Craig,vil@nujow.ss,(502) 403-5981,262184,Uhdel Mill,Volwive,CO,91394,$2677.60,WHITE
7,Sophia Massey,betere@tahorje.ve,(724) 770-4243,537233,Jico Square,Pewuhka,UT,80181,$7702.05,BLUE
8,Belle Moore,de@jocu.ye,(921) 527-8813,354697,Sanfi Pike,Joaneez,KY,09133,$6567.37,WHITE
9,Dean Jordan,nufnalnu@ede.kg,(260) 642-6020,327109,Pikiv Place,Degalgel,MA,16432,$2310.41,WHITE
10,Cameron Ortiz,danremuw@katgomaw.md,(525) 777-1167,865942,Tufgeg Manor,Sospaeb,NV,32996,$2668.60,BLUE
11,Carlos Herrera,ahituf@jogjap.my,(569) 300-4123,972141,Arzi Loop,Ticmujis,MO,28539,$7717.56,RED
12,Polly Reid,ebgoha@odo.ae,(568) 676-4301,791293,Cihi Lane,Esharned,MO,08062,$2444.16,YELLOW
13,Clyde Flowers,ko@bi.lc,(415) 866-6637,956513,Wamed Grove,Sutticju,MA,37706,$7460.54,WHITE
14,Bill Weber,sufabi@palalfev.ai,(737) 781-5390,845896,Ucpac River,Ocaajise,MO,55495,$5291.03,GREEN
15,Amanda Walker,hag@tinavi.pw,(529) 243-2034,475771,Laczi Grove,Demubowo,CO,82623,$9556.11,WHITE
16,Sylvia Fitzgerald,veekaru@os.et,(757) 711-7582,783669,Zedet Avenue,Onezecfa,LA,62251,$2702.93,WHITE
17,Peter Flores,nar@vunguwam.pw,(885) 225-7153,324941,Uduken Lane,Racowjev,IN,84295,$5749.71,YELLOW
18,Adrian Owen,av@camamiima.mh,(810) 295-8971,139424,Suho View,Eliweiki,WY,66676,$6423.19,BLUE
