team_id,name,email,phone,phone_id,street,city,state,zip,dollar,pick
1,Marion Cummings,ezlovdi@ticozo.ar,(687) 271-5790,895126,Kamce Parkway,Dubvaggi,AK,94246,$2756.06,RED
2,Earl Cross,ke@da.fk,(525) 381-8073,399084,Ukuh Highway,Cegnuto,CO,15662,$1388.11,GREEN
3,Sara Doyle,rumbinbed@vatvu.gd,(521) 580-4018,456299,Pihte Park,Pewjewna,FL,03369,$9171.63,RED
4,Timothy McCarthy,facvutko@wijo.cz,(887) 218-8908,275366,Sinim Parkway,Wablicgef,OH,79134,$8662.86,BLUE
5,Amanda Lamb,el@avje.sz,(343) 865-6540,321099,Zihu Square,Ijpiwla,MN,82893,$9550.23,RED
6,Kyle Edwards,zep@rud.la,(672) 565-7404,516497,Nasus Circle,Lonweuz,OH,19532,$9781.23,GREEN
7,Minerva Phillips,facpuw@guvuub.tm,(201) 233-6542,615466,Zuwlek Parkway,Fuvucima,MI,48093,$7938.80,RED
8,Ethan Watkins,ehupe@jiplitva.bt,(738) 782-5940,253297,Dila Turnpike,Ogsifahi,DC,11391,$6797.55,WHITE
9,Sallie Duncan,na@ogi.td,(517) 751-8422,603270,Hatdam Park,Ebupupav,VT,81416,$3111.21,BLUE
10,Wesley Lindsey,voew@dumecu.tc,(958) 774-5416,219728,Hihda Grove,Judagwi,DC,71665,$1901.34,WHITE
11,Sally Keller,rokzupkin@ziaruw.ir,(585) 356-9044,620444,Govci Pike,Tovovtu,AR,81813,$4237.66,WHITE
12,Leah Castro,nuf@avari.ro,(347) 864-3801,071903,Gofewi Place,Newufaj,DC,33099,$4251.98,YELLOW
13,Roxie Parsons,etu@rurgocpod.vu,(240) 543-6554,382649,Erro Place,Ekotoca,NJ,68274,$9776.00,BLUE
14,Don Obrien,taraga@lidtalol.io,(204) 284-9947,907593,Wujwa View,Ubootuima,SD,83126,$4469.31,GREEN
15,Clyde Horton,taciv@boit.se,(340) 766-7389,281668,Juwo View,Samwuccap,VA,72194,$8661.68,WHITE
16,Mabelle Moody,zov@dovza.vi,(416) 506-1336,276472,Cobov Extension,Katmegpig,GA,34907,$38.20,RED
17,Corey Hammond,onrah@ahowucek.sj,(314) 531-9854,761700,Seji Way,Wijkaret,OH,25267,$2624.41,WHITE
18,Jeanette Poole,ivvadu@noesupi.ni,(985) 924-9148,621608,Saiv Glen,Sazaaho,FL,12519,$2845.96,WHITE
19,Rebecca Hill,wig@woheb.cu,(559) 439-4775,114495,Moidu Extension,Ajgoloc,NM,07762,$3430.59,RED
20,Kevin Strickland,fickufgim@wih.mm,(450) 907-9305,106316,Lekcoz Place,Emvofma,NY,15915,$8725.01,GREEN
21,Sylvia Goodman,sispe@satla.tt,(709) 528-8368,567166,Dodme Parkway,Zawifjes,WA,62970,$6162.07,BLUE
22,Isabel Roberson,hafjuk@ceduno.pg,(782) 690-4826,235805,Ucacet Boulevard,Dohaojo,MN,51260,$4672.16,GREEN
23,Caroline McDaniel,he@laav.gh,(479) 689-2176,706943,Niga Center,Gujfeip,SC,71335,$1.02,WHITE
24,Nelle Welch,benlige@ejeku.edu,(759) 398-2331,523707,Mihuke View,Suvjubwib,KY,98501,$6639.46,YELLOW
25,Jeremiah Morris,kuokawav@aci.ci,(459) 309-7669,370233,Nokek Grove,Nehriumo,NH,47293,$9996.10,YELLOW
26,Isaiah Gonzales,koole@sabisem.cr,(784) 831-5192,630720,Fokzab Turnpike,Ojpeldog,PA,98739,$1258.15,WHITE
27,Luella Wood,ibipoowe@ci.je,(774) 900-3413,467419,Bisov Pike,Doomado,AR,59461,$2623.52,WHITE
28,Barry Watson,po@gu.edu,(872) 343-8847,218176,Nuwut Key,Woseka,FL,70856,$1948.62,BLUE
29,Randall Fox,ecifes@oz.au,(720) 590-3732,370913,Kobe Heights,Jakosow,MS,79126,$8760.00,BLUE
30,Ada Drake,fooffec@eh.lu,(822) 893-2475,173455,Ilulaf Pass,Wifimran,LA,50953,$9247.28,BLUE
31,Bertie Bradley,moc@rah.dj,(645) 507-1332,316305,Ceasa Pike,Ozohampok,RI,95802,$7937.45,YELLOW
32,Rosa Salazar,wipeb@fap.as,(541) 997-2003,691107,Lohpa Square,Kelhakna,DC,71177,$4006.32,GREEN
33,Dollie Holmes,how@ce.ly,(268) 951-5735,997685,Uzaho Road,Jurisu,NV,62111,$906.20,WHITE
34,Teresa Mack,vubet@vuc.cn,(340) 938-1115,721720,Selciv Circle,Jokpirgu,IN,65251,$7901.52,GREEN
35,Linnie McBride,vorcedni@habutvit.am,(637) 222-4748,104917,Rugohu Way,Sojjoczu,MN,29256,$1943.59,YELLOW
36,Carolyn Lawson,da@mupvuwpaf.cz,(519) 468-2899,261381,Owewih Key,Nobmeet,AZ,80571,$7269.06,YELLOW
37,Caleb McGee,fibvumfub@pu.vg,(663) 542-1934,908635,Sitke Place,Jufcatca,PA,33410,$107.67,RED
38,Howard Hayes,go@vevi.mc,(559) 232-7232,498037,Jeclop Boulevard,Utavaar,CA,16021,$9308.46,YELLOW
39,Bruce Stokes,zivom@miljene.lt,(802) 770-3256,088646,Wommun Pike,Ujavom,MD,62102,$3814.91,YELLOW
40,Rosie Barber,kipov@ekowe.ba,(945) 569-9328,801358,Loap Glen,Ujupozek,FL,71199,$9193.77,BLUE
41,Loretta Brewer,jitpul@kivfi.mn,(362) 941-6161,503853,Pumufi Park,Evomuznin,DE,20275,$4115.93,GREEN
42,Jeffrey Dixon,gozif@sor.ve,(771) 604-8647,453932,Idawoh Square,Vigzolug,LA,66900,$1791.49,RED
43,Scott Hale,vodoc@koster.eu,(402) 324-6952,234369,Nagfi Terrace,Hibdahi,KS,62041,$3793.50,WHITE
44,Della Phillips,pe@vaz.cv,(557) 933-9849,701105,Fefeb Junction,Hecbuvkib,MD,10713,$7534.39,GREEN
45,Leah Dean,sehi@jasujoh.ax,(622) 325-8336,091277,Zalma Pass,Detdode,WI,05218,$2566.41,GREEN
46,Danny Goodman,mosu@jub.bg,(241) 959-6117,646682,Supe Way,Wevbicef,UT,89143,$9625.98,GREEN
47,Richard Chambers,am@nioveamo.et,(947) 626-4442,381488,Gekaz Boulevard,Ibagigaci,PA,70949,$9387.56,YELLOW
48,Larry Reed,kebkof@won.ec,(408) 971-4015,992028,Mipir Lane,Toduzeg,MS,72221,$5349.77,BLUE
49,Emma Brewer,ediumu@jaotro.lr,(829) 564-5998,723184,Gacan Drive,Tumudiwa,HI,40825,$1395.07,YELLOW
50,Sophie Mathis,kev@re.td,(355) 513-2906,820711,Buig Parkway,Savsawpa,WI,24336,$9404.68,RED
51,Luis Martin,nov@ovdig.py,(513) 399-6075,292029,Gowoni Turnpike,Tesvotu,TX,72697,$8729.05,GREEN
52,Leon Riley,rilor@ohunurge.ag,(208) 528-9772,914314,Tifir Place,Zonogir,UT,22828,$8765.37,GREEN
53,Timothy Cohen,daspe@eglese.np,(771) 389-5316,688019,Goire Square,Asadeaw,AZ,58999,$3769.81,YELLOW
54,Aiden Cobb,poj@wawsi.br,(648) 829-6895,074074,Reziz River,Pojulga,CO,89571,$3786.37,BLUE
55,Isabella Glover,dotgeved@bufkodac.gl,(615) 717-8257,818431,Vegne Lane,Puguhocar,NJ,80326,$5762.28,WHITE
56,Nathaniel Higgins,siwpuli@jud.pe,(728) 872-6632,640675,Sarek Extension,Sujguoh,SC,85156,$4480.08,RED
57,Birdie Barnes,gara@fukacsa.sa,(215) 523-7408,423213,Zuto Park,Favetvu,MA,27014,$4417.32,YELLOW
58,Lewis Barrett,jorebag@gak.lv,(561) 443-4708,629741,Zipazu Junction,Gigzuamu,TN,93812,$7128.85,WHITE
59,Rachel Maldonado,fogu@agbuvvaf.re,(616) 825-6159,476863,Bekroh Road,Ungucgim,VA,14877,$1748.30,YELLOW
60,Chase Maldonado,asogafrer@vajuno.dk,(389) 272-3867,513541,Borije Highway,Otuuvcu,ND,28874,$424.70,RED
61,Francis Stanley,noagovu@piosfi.np,(467) 613-4302,164800,Irlo Lane,Cavazloc,GA,92221,$7930.82,RED
62,Oscar Aguilar,ra@dapozjaz.dk,(953) 436-2749,323804,Vuwa Loop,Hulovu,ID,11606,$1121.89,RED
63,Arthur Haynes,divnaw@ji.gq,(833) 680-7321,437606,Jizlef River,Tavepa,NJ,58742,$7576.68,WHITE
64,Emma Watson,ownihwo@ana.au,(441) 673-5982,031755,Jagwos Path,Zojvugmu,SD,39516,$2100.32,WHITE
65,Lora Conner,legjegoc@evu.ck,(286) 497-4680,070194,Wehuh Way,Zebfowud,AR,76658,$8688.97,BLUE
66,David Berry,wuz@gasbaghuj.cf,(444) 803-2813,270379,Moftav Heights,Jiahce,NC,85554,$6679.19,YELLOW
67,Cody Waters,ivi@bideg.aw,(688) 654-8190,081630,Soar Ridge,Caamivi,NJ,09077,$7029.58,GREEN
68,Flora Jones,pome@ha.ch,(783) 967-7483,714858,Dimim River,Hajamo,OR,48640,$7574.75,YELLOW
69,Sam Morris,tokuhgo@bawtuspuf.ni,(822) 555-5303,310702,Ebapo Pike,Sarwivpac,AR,80875,$8638.98,GREEN
70,Caleb Flowers,deruroca@vevniuh.cw,(319) 210-2744,439970,Hazlu Avenue,Ditemag,IL,15031,$4500.40,YELLOW
71,Chase Erickson,bewnejtis@wadnegka.sh,(426) 315-2097,798766,Cadulu River,Kifundav,KS,74868,$6379.57,WHITE
72,Claudia Jimenez,ho@jiban.ga,(238) 537-4479,013539,Soza Drive,Irbofap,ND,41005,$6651.52,BLUE
73,Elmer Stevens,boopvof@ha.ki,(535) 623-9838,233734,Jumac Drive,Fususahiw,ID,34232,$9353.00,YELLOW
74,Etta Manning,jarwu@necolda.mo,(879) 395-2379,672953,Etove Parkway,Reljoum,ME,31778,$6938.26,WHITE
75,Elmer Reid,lis@uwoimu.tz,(948) 452-5420,958227,Libkaf Highway,Sipiojo,MO,81649,$7071.72,RED
76,Lloyd Fuller,mo@ebfik.gl,(863) 948-9964,650909,Agahad Boulevard,Jiozku,SC,90716,$5801.80,YELLOW
77,Cornelia Robertson,pewo@liez.mr,(253) 233-6140,090095,Gejuc Center,Ufahulba,WI,83018,$5423.61,GREEN
78,Stella Kim,modid@hubhijez.pn,(358) 584-3016,737865,Diima Heights,Etetevmaz,IL,35470,$7614.73,YELLOW
79,Mitchell Peters,unwer@fih.nc,(735) 586-3303,457056,Ehaw Trail,Gulgusa,ND,18719,$5039.51,WHITE
80,Mario Williamson,li@vowilo.th,(806) 606-6266,248018,Feone Highway,Ciepaho,KS,43430,$3331.27,BLUE
81,Virgie Boone,feazlu@fobu.yt,(368) 225-5205,980345,Ujeoni Mill,Osrodu,UT,20565,$4927.50,GREEN
82,Gavin Jefferson,wegba@jezluv.se,(871) 786-3510,424306,Weuho View,Cumjeaj,RI,14482,$8298.38,GREEN
83,Mabel Wilkins,doclu@lec.mp,(813) 954-6999,207968,Wocec Place,Bausneg,NJ,59172,$3516.63,WHITE
84,Fanny Terry,gagazlev@javo.ml,(362) 209-2434,249118,Rulav Drive,Putacorar,SC,40455,$3381.99,BLUE
85,Nelle Caldwell,ror@gefa.pw,(657) 245-7164,466248,Soju Manor,Rewnotu,RI,49816,$3452.95,YELLOW
86,Eliza Greer,zoj@dihen.kh,(961) 737-1925,569772,Gimul Junction,Bawahme,NH,71039,$9984.92,BLUE
87,Elva Christensen,toghobiv@irke.ss,(248) 455-3750,830149,Kamlo Junction,Joferazid,MO,60943,$3741.11,WHITE
88,Josie Reynolds,dot@fevbebzib.vc,(553) 742-9894,418974,Okof Parkway,Likkevi,KY,30731,$557.13,WHITE
89,Gussie Schwartz,pimup@zuidu.al,(665) 501-2630,978291,Tarza Parkway,Kubazi,ME,41607,$3207.08,GREEN
90,Luis Watson,ogra@lufudjuz.bi,(214) 381-3086,527994,Domve Circle,Mivuje,MO,20472,$9897.12,YELLOW
91,Olive Berry,monpek@piw.vc,(426) 510-5402,632073,Wivje Boulevard,Porfani,WI,41770,$5390.20,YELLOW
92,Della Warren,ekheavo@wipudhoc.ir,(506) 923-5897,480321,Ubupe Mill,Dairdak,TN,02474,$3517.70,WHITE
93,James Rodgers,gura@zucakuk.va,(286) 494-3956,012042,Linur Extension,Ofbinpe,KS,78152,$1079.36,GREEN
94,Lucas Gonzalez,leca@zo.az,(903) 812-6277,359053,Ukmel Boulevard,Uhulirva,MD,02578,$4212.81,YELLOW
