team_id,name,email,phone,phone_id,street,city,state,zip,dollar,pick
1,Elmer Potter,zu@henez.eg,(801) 305-5697,202531,Wecto Place,Nebhuzez,CO,72009,$2999.22,RED
2,Larry Patterson,le@tihwezom.as,(744) 723-2346,978936,Mihmi Trail,Lareje,CA,56519,$1042.86,RED
3,Jean Harvey,ajet@de.wf,(778) 952-4050,679884,Beni Place,Sunwigke,SC,17960,$4738.00,WHITE
4,Carl Larson,sadvo@nu.nc,(522) 473-8276,423487,Seoj Parkway,Unzobut,HI,74759,$4569.87,GREEN
5,Jennie Salazar,pucovci@zoj.hm,(810) 579-9453,325123,Obuawo Manor,Gafahvu,DE,41767,$4090.16,WHITE
6,Jesse Barber,sune@ve.pm,(624) 525-5972,481102,Zeme Park,Cuasiju,CT,16478,$1274.45,YELLOW
7,Glen Willis,nom@tivesu.cm,(812) 419-3254,370724,Usujak Highway,Enetliv,MN,87940,$1540.94,WHITE
8,Justin Bridges,bifamep@bivvo.cz,(800) 565-1220,057585,Vadec Glen,Ucsubgub,CA,23610,$379.22,YELLOW
9,Derek Cobb,jeworeci@im.fk,(715) 740-1880,920392,Josa River,Etakannut,AL,86199,$5417.01,BLUE
10,James Fernandez,suzze@nako.us,(787) 804-8898,069965,Uhku Circle,Kalidel,HI,76528,$1575.36,RED
11,Sally Lamb,kud@iglewwan.ps,(224) 266-3919,423022,Zuono Highway,Zunolki,WA,71441,$1253.02,BLUE
12,Duane Hall,puwokka@mosedaji.kp,(480) 352-7447,832553,Vefis Manor,Piasuemu,AR,39877,$8615.05,BLUE
13,Pauline McDaniel,cado@rafduvzul.an,(352) 363-1491,128938,Ajoto Court,Ewocawi,NY,30946,$2574.28,GREEN
14,Lucile Bryan,upe@zuc.mn,(384) 529-9068,918185,Ofda View,Soozuoto,MO,58822,$192.65,YELLOW
15,Walter Snyder,mana@ekirusec.cd,(854) 371-1130,188184,Pefek Point,Julenhad,MN,95956,$3158.58,BLUE
16,Jeffrey Brady,mosneh@cobema.fm,(680) 746-7712,931995,Saima Key,Wukemaw,SC,19762,$6750.96,BLUE
17,Louis Owens,luhpa@kurahfa.cw,(352) 300-3686,155277,Bidsa Path,Veulauc,WI,19420,$1972.36,YELLOW
18,Lloyd Sanchez,ijhajmoh@mopaim.sk,(530) 660-6269,247994,Rubnu Path,Pegowda,DE,09767,$4385.86,BLUE
19,Ruby Lambert,duwico@miw.ao,(811) 263-6223,180024,Noul Path,Luhcufgi,NJ,64946,$8781.11,BLUE
20,Sallie Allen,manama@lezwiofi.mr,(589) 698-8079,373874,Gegnot River,Wulfuep,AR,52676,$1192.44,BLUE
21,Nina Lynch,kikpe@ab.fk,(814) 579-1620,810535,Burzo Pass,Mirubniv,IL,68757,$3810.50,WHITE
22,Wesley Chandler,belbalur@tuhpu.nf,(372) 769-1751,956776,Ilepa Junction,Ukeremag,CO,76436,$6021.08,GREEN
23,Rosalie Curry,ni@dadap.rs,(529) 419-8017,778881,Jafu Avenue,Piztouh,SC,34614,$279.54,GREEN
24,Roy Black,rut@noj.mp,(756) 708-9805,937657,Habwoh Circle,Obawiwsiw,TN,72115,$9026.97,RED
25,Cora Hansen,ukagasjir@kuheher.tn,(377) 453-1909,294251,Liwmo Path,Jenbake,MN,26768,$885.87,GREEN
26,Walter Rodgers,al@ec.ng,(711) 873-6728,369286,Evuf Grove,Gioktod,MI,24297,$7211.49,WHITE
27,Elnora Fitzgerald,ta@gu.bt,(238) 957-4441,862321,Wampo Glen,Ohaejle,TX,02534,$111.39,BLUE
28,Sarah Hines,gah@vamepse.cv,(446) 723-5377,303488,Bervup Terrace,Lunila,NM,45482,$4529.95,GREEN
29,Justin Parks,bote@velsaot.net,(700) 717-8160,849170,Zubig Turnpike,Gujefoovu,VT,04757,$7698.42,GREEN
